date,cum_EL_return_512_with_cost,cum_ES_return_512_with_cost,cum_ELS_return_512_with_cost,cum_VL_return_512_with_cost,cum_VS_return_512_with_cost,cum_VLS_return_512_with_cost,cum_EL_return_512_without_cost,cum_ES_return_512_without_cost,cum_ELS_return_512_without_cost,cum_VL_return_512_without_cost,cum_VS_return_512_without_cost,cum_VLS_return_512_without_cost
2016-01-04,-0.015323804467527638,-0.015323804467527638,-0.030647608935055276,-0.0033401650256070616,-0.0033401650256070616,-0.006680330051214123,-0.014323804467527637,-0.014323804467527637,-0.028647608935055274,-0.0023401650256070616,-0.0023401650256070616,-0.004680330051214123
2016-01-05,-0.020142929796956456,-0.020142929796956456,-0.04028585959391291,-0.010330127558840076,-0.010330127558840076,-0.020660255117680153,-0.018142929796956454,-0.018142929796956454,-0.03628585959391291,-0.008330127558840078,-0.008330127558840078,-0.016660255117680156
2016-01-06,-0.06426472184664936,-0.06426472184664936,-0.12852944369329872,-0.022881164642609905,-0.022881164642609905,-0.04576232928521981,-0.06126472184664936,-0.06126472184664936,-0.12252944369329873,-0.01988116464260991,-0.01988116464260991,-0.03976232928521982
2016-01-07,-0.09970169154101285,-0.09970169154101285,-0.1994033830820257,-0.039338398139002806,-0.039338398139002806,-0.07867679627800561,-0.09570169154101286,-0.09570169154101286,-0.19140338308202573,-0.035338398139002816,-0.035338398139002816,-0.07067679627800563
2016-01-08,-0.12150133679966041,-0.12150133679966041,-0.24300267359932082,-0.04314992993394207,-0.04314992993394207,-0.08629985986788415,-0.1165013367996604,-0.1165013367996604,-0.2330026735993208,-0.03814992993394208,-0.03814992993394208,-0.07629985986788416
2016-01-11,-0.0996067683263828,-0.0996067683263828,-0.1992135366527656,-0.03607384352830056,-0.03607384352830056,-0.07214768705660111,-0.09360676832638279,-0.09360676832638279,-0.18721353665276558,-0.030073843528300566,-0.030073843528300566,-0.06014768705660113
2016-01-12,-0.09221729198237588,-0.09221729198237588,-0.18443458396475176,-0.03249596785759615,-0.03249596785759615,-0.0649919357151923,-0.08521729198237588,-0.08521729198237588,-0.17043458396475175,-0.025495967857596155,-0.025495967857596155,-0.05099193571519231
2016-01-13,-0.12232340994116135,-0.12232340994116135,-0.2446468198823227,-0.04398551301283743,-0.04398551301283743,-0.08797102602567486,-0.11432340994116134,-0.11432340994116134,-0.2286468198823227,-0.035985513012837436,-0.035985513012837436,-0.07197102602567487
2016-01-14,-0.11111591267182985,-0.11111591267182985,-0.2222318253436597,-0.0391093640645151,-0.0391093640645151,-0.0782187281290302,-0.10211591267182986,-0.10211591267182986,-0.20423182534365972,-0.030109364064515108,-0.030109364064515108,-0.060218728129030216
2016-01-15,-0.14833552067190703,-0.14833552067190703,-0.29667104134381406,-0.05160877951459912,-0.05160877951459912,-0.10321755902919824,-0.13833552067190705,-0.13833552067190705,-0.2766710413438141,-0.041608779514599126,-0.041608779514599126,-0.08321755902919825
2016-01-19,-0.15551664158881187,-0.15551664158881187,-0.31103328317762374,-0.055083591915422475,-0.055083591915422475,-0.11016718383084495,-0.1445166415888119,-0.1445166415888119,-0.2890332831776238,-0.04408359191542248,-0.04408359191542248,-0.08816718383084496
2016-01-20,-0.16638337232334519,-0.16638337232334519,-0.33276674464669037,-0.05877666057949403,-0.05877666057949403,-0.11755332115898806,-0.1543833723233452,-0.1543833723233452,-0.3087667446466904,-0.046776660579494034,-0.046776660579494034,-0.09355332115898807
2016-01-21,-0.13398063037895747,-0.13398063037895747,-0.26796126075791493,-0.05342162061236229,-0.05342162061236229,-0.10684324122472458,-0.1209806303789575,-0.1209806303789575,-0.241961260757915,-0.04042162061236229,-0.04042162061236229,-0.08084324122472458
2016-01-22,-0.131563157130204,-0.131563157130204,-0.263126314260408,-0.04337472418520888,-0.04337472418520888,-0.08674944837041776,-0.11756315713020404,-0.11756315713020404,-0.2351263142604081,-0.029374724185208884,-0.029374724185208884,-0.05874944837041777
2016-01-25,-0.12817228508385037,-0.12817228508385037,-0.25634457016770074,-0.047022668769635,-0.047022668769635,-0.09404533753927,-0.11317228508385041,-0.11317228508385041,-0.22634457016770082,-0.032022668769635006,-0.032022668769635006,-0.06404533753927001
2016-01-26,-0.12608391206875263,-0.12608391206875263,-0.25216782413750527,-0.04683771467396959,-0.04683771467396959,-0.09367542934793918,-0.11008391206875268,-0.11008391206875268,-0.22016782413750535,-0.030837714673969598,-0.030837714673969598,-0.061675429347939195
2016-01-27,-0.1299326316031079,-0.1299326316031079,-0.2598652632062158,-0.06178926262913158,-0.06178926262913158,-0.12357852525826316,-0.11293263160310793,-0.11293263160310793,-0.22586526320621586,-0.04478926262913159,-0.04478926262913159,-0.08957852525826318
2016-01-28,-0.13517713495238948,-0.13517713495238948,-0.27035426990477895,-0.0625103371607628,-0.0625103371607628,-0.1250206743215256,-0.11717713495238952,-0.11717713495238952,-0.23435426990477903,-0.04451033716076281,-0.04451033716076281,-0.08902067432152562
2016-01-29,-0.09932927245085035,-0.09932927245085035,-0.1986585449017007,-0.050217247855703445,-0.050217247855703445,-0.10043449571140689,-0.08032927245085039,-0.08032927245085039,-0.16065854490170078,-0.03121724785570345,-0.03121724785570345,-0.0624344957114069
2016-02-01,-0.10851856188320001,-0.10851856188320001,-0.21703712376640003,-0.054812429038002375,-0.054812429038002375,-0.10962485807600475,-0.08851856188320005,-0.08851856188320005,-0.1770371237664001,-0.03481242903800238,-0.03481242903800238,-0.06962485807600476
2016-02-02,-0.14186973259604693,-0.14186973259604693,-0.28373946519209386,-0.06578863196289472,-0.06578863196289472,-0.13157726392578944,-0.12086973259604697,-0.12086973259604697,-0.24173946519209394,-0.04478863196289472,-0.04478863196289472,-0.08957726392578944
